A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/5.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/5.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shenyang,PM2.5,1/1/2017 0:00,2017,1,1,0,120,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 1:00,2017,1,1,1,121,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 2:00,2017,1,1,2,127,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 3:00,2017,1,1,3,128,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 4:00,2017,1,1,4,135,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 5:00,2017,1,1,5,133,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 6:00,2017,1,1,6,141,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 7:00,2017,1,1,7,143,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 8:00,2017,1,1,8,158,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 9:00,2017,1,1,9,162,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 10:00,2017,1,1,10,176,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 11:00,2017,1,1,11,184,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 12:00,2017,1,1,12,199,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 13:00,2017,1,1,13,202,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 14:00,2017,1,1,14,221,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 15:00,2017,1,1,15,223,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 16:00,2017,1,1,16,238,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 17:00,2017,1,1,17,235,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 18:00,2017,1,1,18,253,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 19:00,2017,1,1,19,255,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 20:00,2017,1,1,20,258,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 21:00,2017,1,1,21,267,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 22:00,2017,1,1,22,263,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 23:00,2017,1,1,23,273,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 0:00,2017,1,2,0,265,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 1:00,2017,1,2,1,250,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 2:00,2017,1,2,2,247,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 3:00,2017,1,2,3,233,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 4:00,2017,1,2,4,220,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 5:00,2017,1,2,5,194,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 6:00,2017,1,2,6,154,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 7:00,2017,1,2,7,130,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 8:00,2017,1,2,8,124,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 9:00,2017,1,2,9,109,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 10:00,2017,1,2,10,115,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 11:00,2017,1,2,11,44,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 12:00,2017,1,2,12,44,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 13:00,2017,1,2,13,17,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 14:00,2017,1,2,14,17,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 15:00,2017,1,2,15,21,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 16:00,2017,1,2,16,26,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 17:00,2017,1,2,17,31,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 18:00,2017,1,2,18,32,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 19:00,2017,1,2,19,47,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 20:00,2017,1,2,20,58,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 21:00,2017,1,2,21,64,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 22:00,2017,1,2,22,53,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 23:00,2017,1,2,23,55,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 0:00,2017,1,3,0,38,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 1:00,2017,1,3,1,42,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 2:00,2017,1,3,2,52,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 3:00,2017,1,3,3,78,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 4:00,2017,1,3,4,90,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 5:00,2017,1,3,5,106,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 6:00,2017,1,3,6,98,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 7:00,2017,1,3,7,117,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 8:00,2017,1,3,8,107,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 9:00,2017,1,3,9,124,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 10:00,2017,1,3,10,96,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 11:00,2017,1,3,11,112,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 12:00,2017,1,3,12,129,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 13:00,2017,1,3,13,132,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 14:00,2017,1,3,14,126,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 15:00,2017,1,3,15,136,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 16:00,2017,1,3,16,147,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 17:00,2017,1,3,17,166,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 18:00,2017,1,3,18,180,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 19:00,2017,1,3,19,194,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 20:00,2017,1,3,20,207,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 21:00,2017,1,3,21,218,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 22:00,2017,1,3,22,226,µg/m³,1 Hr,Valid
