 format: day,hour,forecast,value  location:60_127 Start : 20150101 
 1,0200,+4,-5.000000 
 1,0200,+7,-6.000000 
 1,0200,+10,-7.000000 
 1,0200,+13,-8.000000 
 1,0200,+16,-8.000000 
 1,0200,+19,-8.000000 
 1,0200,+22,-7.000000 
 1,0200,+25,-4.000000 
 1,0200,+28,-2.000000 
 1,0200,+31,-4.000000 
 1,0200,+34,-5.000000 
 1,0200,+37,-6.000000 
 1,0200,+40,-7.000000 
 1,0200,+43,-7.000000 
 1,0200,+46,-6.000000 
 1,0200,+49,-1.000000 
 1,0200,+52,1.000000 
 1,0200,+55,1.000000 
 1,0200,+58,0.000000 
 1,0200,+61,-1.000000 
 1,0500,+4,-6.000000 
 1,0500,+7,-7.000000 
 1,0500,+10,-8.000000 
 1,0500,+13,-8.000000 
 1,0500,+16,-8.000000 
 1,0500,+19,-7.000000 
 1,0500,+22,-4.000000 
 1,0500,+25,-2.000000 
 1,0500,+28,-4.000000 
 1,0500,+31,-5.000000 
 1,0500,+34,-6.000000 
 1,0500,+37,-7.000000 
 1,0500,+40,-7.000000 
 1,0500,+43,-6.000000 
 1,0500,+46,-1.000000 
 1,0500,+49,1.000000 
 1,0500,+52,0.000000 
 1,0500,+55,0.000000 
 1,0500,+58,-1.000000 
 1,0800,+4,-7.000000 
 1,0800,+7,-8.000000 
 1,0800,+10,-8.000000 
 1,0800,+13,-8.000000 
 1,0800,+16,-7.000000 
 1,0800,+19,-4.000000 
 1,0800,+22,-2.000000 
 1,0800,+25,-4.000000 
 1,0800,+28,-5.000000 
 1,0800,+31,-7.000000 
 1,0800,+34,-7.000000 
 1,0800,+37,-7.000000 
 1,0800,+40,-6.000000 
 1,0800,+43,-1.000000 
 1,0800,+46,1.000000 
 1,0800,+49,0.000000 
 1,0800,+52,0.000000 
 1,0800,+55,-1.000000 
 1,1100,+4,-8.000000 
 1,1100,+7,-8.000000 
 1,1100,+10,-8.000000 
 1,1100,+13,-7.000000 
 1,1100,+16,-4.000000 
 1,1100,+19,-2.000000 
 1,1100,+22,-4.000000 
 1,1100,+25,-5.000000 
 1,1100,+28,-7.000000 
 1,1100,+31,-7.000000 
 1,1100,+34,-7.000000 
 1,1100,+37,-6.000000 
 1,1100,+40,-1.000000 
 1,1100,+43,1.000000 
 1,1100,+46,0.000000 
 1,1100,+49,0.000000 
 1,1100,+52,-1.000000 
 1,1400,+4,-8.000000 
 1,1400,+7,-9.000000 
 1,1400,+10,-8.000000 
 1,1400,+13,-4.000000 
 1,1400,+16,-2.000000 
 1,1400,+19,-4.000000 
 1,1400,+22,-5.000000 
 1,1400,+25,-7.000000 
 1,1400,+28,-7.000000 
 1,1400,+31,-8.000000 
 1,1400,+34,-8.000000 
 1,1400,+37,-2.000000 
 1,1400,+40,1.000000 
 1,1400,+43,0.000000 
 1,1400,+46,0.000000 
 1,1400,+49,-1.000000 
 1,1700,+4,-9.000000 
 1,1700,+7,-8.000000 
 1,1700,+10,-4.000000 
 1,1700,+13,-2.000000 
 1,1700,+16,-4.000000 
 1,1700,+19,-5.000000 
 1,1700,+22,-7.000000 
 1,1700,+25,-7.000000 
 1,1700,+28,-8.000000 
 1,1700,+31,-8.000000 
 1,1700,+34,-2.000000 
 1,1700,+37,1.000000 
 1,1700,+40,0.000000 
 1,1700,+43,0.000000 
 1,1700,+46,-1.000000 
 1,2000,+4,-7.000000 
 1,2000,+7,-4.000000 
 1,2000,+10,-2.000000 
 1,2000,+13,-4.000000 
 1,2000,+16,-5.000000 
 1,2000,+19,-6.000000 
 1,2000,+22,-7.000000 
 1,2000,+25,-8.000000 
 1,2000,+28,-7.000000 
 1,2000,+31,-2.000000 
 1,2000,+34,1.000000 
 1,2000,+37,0.000000 
 1,2000,+40,0.000000 
 1,2000,+43,0.000000 
 1,2000,+46,0.000000 
 1,2000,+49,0.000000 
 1,2000,+52,1.000000 
 1,2000,+55,5.000000 
 1,2000,+58,6.000000 
 1,2000,+61,4.000000 
 1,2000,+64,2.000000 
 1,2000,+67,1.000000 
 1,2300,+4,-4.000000 
 1,2300,+7,-2.000000 
 1,2300,+10,-4.000000 
 1,2300,+13,-5.000000 
 1,2300,+16,-6.000000 
 1,2300,+19,-7.000000 
 1,2300,+22,-8.000000 
 1,2300,+25,-7.000000 
 1,2300,+28,-2.000000 
 1,2300,+31,1.000000 
 1,2300,+34,0.000000 
 1,2300,+37,0.000000 
 1,2300,+40,0.000000 
 1,2300,+43,0.000000 
 1,2300,+46,0.000000 
 1,2300,+49,1.000000 
 1,2300,+52,5.000000 
 1,2300,+55,6.000000 
 1,2300,+58,4.000000 
 1,2300,+61,2.000000 
 1,2300,+64,1.000000 
 2,0200,+4,-2.000000 
 2,0200,+7,-4.000000 
 2,0200,+10,-5.000000 
 2,0200,+13,-6.000000 
 2,0200,+16,-7.000000 
 2,0200,+19,-8.000000 
 2,0200,+22,-7.000000 
 2,0200,+25,-2.000000 
 2,0200,+28,1.000000 
 2,0200,+31,0.000000 
 2,0200,+34,0.000000 
 2,0200,+37,0.000000 
 2,0200,+40,0.000000 
 2,0200,+43,0.000000 
 2,0200,+46,1.000000 
 2,0200,+49,5.000000 
 2,0200,+52,6.000000 
 2,0200,+55,4.000000 
 2,0200,+58,2.000000 
 2,0200,+61,1.000000 
 2,0500,+4,-4.000000 
 2,0500,+7,-5.000000 
 2,0500,+10,-6.000000 
 2,0500,+13,-7.000000 
 2,0500,+16,-8.000000 
 2,0500,+19,-7.000000 
 2,0500,+22,-2.000000 
 2,0500,+25,1.000000 
 2,0500,+28,0.000000 
 2,0500,+31,-1.000000 
 2,0500,+34,-1.000000 
 2,0500,+37,-1.000000 
 2,0500,+40,0.000000 
 2,0500,+43,1.000000 
 2,0500,+46,5.000000 
 2,0500,+49,6.000000 
 2,0500,+52,4.000000 
 2,0500,+55,2.000000 
 2,0500,+58,1.000000 
 2,0800,+4,-5.000000 
 2,0800,+7,-6.000000 
 2,0800,+10,-7.000000 
 2,0800,+13,-8.000000 
 2,0800,+16,-7.000000 
 2,0800,+19,-2.000000 
 2,0800,+22,2.000000 
 2,0800,+25,0.000000 
 2,0800,+28,0.000000 
 2,0800,+31,0.000000 
 2,0800,+34,0.000000 
 2,0800,+37,0.000000 
 2,0800,+40,2.000000 
 2,0800,+43,5.000000 
 2,0800,+46,7.000000 
 2,0800,+49,4.000000 
 2,0800,+52,3.000000 
 2,0800,+55,2.000000 
 2,1100,+4,-6.000000 
 2,1100,+7,-7.000000 
 2,1100,+10,-8.000000 
 2,1100,+13,-7.000000 
 2,1100,+16,-2.000000 
 2,1100,+19,2.000000 
 2,1100,+22,0.000000 
 2,1100,+25,0.000000 
 2,1100,+28,0.000000 
 2,1100,+31,0.000000 
 2,1100,+34,0.000000 
 2,1100,+37,2.000000 
 2,1100,+40,5.000000 
 2,1100,+43,7.000000 
 2,1100,+46,4.000000 
 2,1100,+49,3.000000 
 2,1100,+52,2.000000 
 2,1400,+4,-7.000000 
 2,1400,+7,-8.000000 
 2,1400,+10,-7.000000 
 2,1400,+13,-2.000000 
 2,1400,+16,2.000000 
 2,1400,+19,1.000000 
 2,1400,+22,0.000000 
 2,1400,+25,1.000000 
 2,1400,+28,0.000000 
 2,1400,+31,0.000000 
 2,1400,+34,2.000000 
 2,1400,+37,5.000000 
 2,1400,+40,7.000000 
 2,1400,+43,4.000000 
 2,1400,+46,3.000000 
 2,1400,+49,2.000000 
 2,1700,+4,-8.000000 
 2,1700,+7,-7.000000 
 2,1700,+10,-2.000000 
