 format: day,hour,forecast,value  location:60_127 Start : 20150101 
 1,0200,+4,25.000000 
 1,0200,+7,35.000000 
 1,0200,+10,45.000000 
 1,0200,+13,55.000000 
 1,0200,+16,50.000000 
 1,0200,+19,50.000000 
 1,0200,+22,55.000000 
 1,0200,+25,40.000000 
 1,0200,+28,25.000000 
 1,0200,+31,30.000000 
 1,0200,+34,35.000000 
 1,0200,+37,40.000000 
 1,0200,+40,45.000000 
 1,0200,+43,55.000000 
 1,0200,+46,50.000000 
 1,0200,+49,45.000000 
 1,0200,+52,50.000000 
 1,0200,+55,55.000000 
 1,0200,+58,65.000000 
 1,0200,+61,65.000000 
 1,0500,+4,35.000000 
 1,0500,+7,45.000000 
 1,0500,+10,55.000000 
 1,0500,+13,50.000000 
 1,0500,+16,50.000000 
 1,0500,+19,50.000000 
 1,0500,+22,35.000000 
 1,0500,+25,25.000000 
 1,0500,+28,30.000000 
 1,0500,+31,35.000000 
 1,0500,+34,40.000000 
 1,0500,+37,45.000000 
 1,0500,+40,55.000000 
 1,0500,+43,50.000000 
 1,0500,+46,45.000000 
 1,0500,+49,50.000000 
 1,0500,+52,55.000000 
 1,0500,+55,65.000000 
 1,0500,+58,65.000000 
 1,0800,+4,45.000000 
 1,0800,+7,55.000000 
 1,0800,+10,50.000000 
 1,0800,+13,50.000000 
 1,0800,+16,50.000000 
 1,0800,+19,35.000000 
 1,0800,+22,25.000000 
 1,0800,+25,30.000000 
 1,0800,+28,35.000000 
 1,0800,+31,40.000000 
 1,0800,+34,45.000000 
 1,0800,+37,55.000000 
 1,0800,+40,50.000000 
 1,0800,+43,45.000000 
 1,0800,+46,50.000000 
 1,0800,+49,55.000000 
 1,0800,+52,65.000000 
 1,0800,+55,65.000000 
 1,1100,+4,50.000000 
 1,1100,+7,50.000000 
 1,1100,+10,50.000000 
 1,1100,+13,50.000000 
 1,1100,+16,35.000000 
 1,1100,+19,25.000000 
 1,1100,+22,30.000000 
