 format: day,hour,forecast,value  location:60_127 Start : 20150101 
 1,0200,+4,0.000000 
 1,0200,+7,0.000000 
 1,0200,+10,0.000000 
 1,0200,+13,0.000000 
 1,0200,+16,0.000000 
 1,0200,+19,0.000000 
 1,0200,+22,0.000000 
 1,0200,+25,0.000000 
 1,0200,+28,0.000000 
 1,0200,+31,0.000000 
 1,0500,+4,0.000000 
 1,0500,+7,0.000000 
 1,0500,+10,0.000000 
 1,0500,+13,0.000000 
 1,0500,+16,0.000000 
 1,0500,+19,0.000000 
 1,0500,+22,0.000000 
 1,0500,+25,0.000000 
 1,0500,+28,0.000000 
 1,0500,+31,0.000000 
 1,0800,+4,0.000000 
 1,0800,+7,0.000000 
 1,0800,+10,0.000000 
 1,0800,+13,0.000000 
 1,0800,+16,0.000000 
 1,0800,+19,0.000000 
 1,0800,+22,0.000000 
 1,0800,+25,0.000000 
 1,0800,+28,0.000000 
 1,1100,+4,0.000000 
 1,1100,+7,0.000000 
 1,1100,+10,0.000000 
 1,1100,+13,0.000000 
 1,1100,+16,0.000000 
 1,1100,+19,0.000000 
 1,1100,+22,0.000000 
 1,1100,+25,0.000000 
 1,1100,+28,0.000000 
 1,1400,+4,0.000000 
 1,1400,+7,0.000000 
 1,1400,+10,0.000000 
 1,1400,+13,0.000000 
 1,1400,+16,0.000000 
 1,1400,+19,0.000000 
 1,1400,+22,0.000000 
 1,1400,+25,0.000000 
 1,1700,+4,0.000000 
 1,1700,+7,0.000000 
 1,1700,+10,0.000000 
 1,1700,+13,0.000000 
 1,1700,+16,0.000000 
 1,1700,+19,0.000000 
 1,1700,+22,0.000000 
 1,1700,+25,0.000000 
 1,2000,+4,0.000000 
 1,2000,+7,0.000000 
 1,2000,+10,0.000000 
 1,2000,+13,0.000000 
 1,2000,+16,0.000000 
 1,2000,+19,0.000000 
 1,2000,+22,0.000000 
 1,2000,+25,0.000000 
 1,2000,+28,0.000000 
 1,2000,+31,0.000000 
 1,2000,+34,0.000000 
 1,2300,+4,0.000000 
 1,2300,+7,0.000000 
 1,2300,+10,0.000000 
 1,2300,+13,0.000000 
 1,2300,+16,0.000000 
 1,2300,+19,0.000000 
 1,2300,+22,0.000000 
 1,2300,+25,0.000000 
 1,2300,+28,0.000000 
 1,2300,+31,0.000000 
 1,2300,+34,0.000000 
 2,0200,+4,0.000000 
 2,0200,+7,0.000000 
 2,0200,+10,0.000000 
 2,0200,+13,0.000000 
 2,0200,+16,0.000000 
 2,0200,+19,0.000000 
 2,0200,+22,0.000000 
 2,0200,+25,0.000000 
 2,0200,+28,0.000000 
 2,0200,+31,0.000000 
 2,0500,+4,0.000000 
 2,0500,+7,0.000000 
 2,0500,+10,0.000000 
 2,0500,+13,0.000000 
 2,0500,+16,0.000000 
 2,0500,+19,0.000000 
 2,0500,+22,0.000000 
 2,0500,+25,0.000000 
 2,0500,+28,0.000000 
 2,0500,+31,0.000000 
 2,0800,+4,0.000000 
 2,0800,+7,0.000000 
 2,0800,+10,0.000000 
 2,0800,+13,0.000000 
 2,0800,+16,0.000000 
 2,0800,+19,0.000000 
 2,0800,+22,0.000000 
 2,0800,+25,0.000000 
 2,0800,+28,0.000000 
 2,1100,+4,0.000000 
 2,1100,+7,0.000000 
 2,1100,+10,0.000000 
 2,1100,+13,0.000000 
 2,1100,+16,0.000000 
 2,1100,+19,0.000000 
 2,1100,+22,0.000000 
 2,1100,+25,0.000000 
 2,1100,+28,0.000000 
 2,1400,+4,0.000000 
 2,1400,+7,0.000000 
 2,1400,+10,0.000000 
 2,1400,+13,0.000000 
 2,1400,+16,0.000000 
 2,1400,+19,0.000000 
 2,1400,+22,0.000000 
 2,1400,+25,0.000000 
 2,1700,+4,0.000000 
 2,1700,+7,0.000000 
 2,1700,+10,0.000000 
 2,1700,+13,0.000000 
 2,1700,+16,0.000000 
 2,1700,+19,0.000000 
 2,1700,+22,0.000000 
 2,1700,+25,0.000000 
 2,2000,+4,0.000000 
 2,2000,+7,0.000000 
 2,2000,+10,0.000000 
 2,2000,+13,0.000000 
 2,2000,+16,0.000000 
 2,2000,+19,0.000000 
 2,2000,+22,0.000000 
 2,2000,+25,0.000000 
 2,2000,+28,0.000000 
 2,2000,+31,0.000000 
 2,2000,+34,0.000000 
 2,2300,+4,0.000000 
 2,2300,+7,0.000000 
 2,2300,+10,0.000000 
 2,2300,+13,0.000000 
 2,2300,+16,0.000000 
 2,2300,+19,0.000000 
 2,2300,+22,0.000000 
 2,2300,+25,0.000000 
 2,2300,+28,0.000000 
 2,2300,+31,0.000000 
 2,2300,+34,0.000000 
 3,0200,+4,0.000000 
 3,0200,+7,0.000000 
 3,0200,+10,0.000000 
 3,0200,+13,0.000000 
 3,0200,+16,0.000000 
 3,0200,+19,0.000000 
 3,0200,+22,0.000000 
 3,0200,+25,0.000000 
 3,0200,+28,0.000000 
 3,0200,+31,0.000000 
 3,0500,+4,0.000000 
 3,0500,+7,0.000000 
 3,0500,+10,0.000000 
 3,0500,+13,0.000000 
 3,0500,+16,0.000000 
 3,0500,+19,0.000000 
 3,0500,+22,0.000000 
 3,0500,+25,0.000000 
 3,0500,+28,0.000000 
 3,0500,+31,0.000000 
 3,0800,+4,0.000000 
 3,0800,+7,0.000000 
 3,0800,+10,0.000000 
 3,0800,+13,0.000000 
 3,0800,+16,0.000000 
 3,0800,+19,0.000000 
 3,0800,+22,0.000000 
 3,0800,+25,0.000000 
 3,0800,+28,0.000000 
 3,1100,+4,0.000000 
 3,1100,+7,0.000000 
 3,1100,+10,0.000000 
 3,1100,+13,0.000000 
 3,1100,+16,0.000000 
 3,1100,+19,0.000000 
 3,1100,+22,0.000000 
 3,1100,+25,0.000000 
 3,1100,+28,0.000000 
 3,1400,+4,0.000000 
 3,1400,+7,0.000000 
 3,1400,+10,0.000000 
 3,1400,+13,0.000000 
 3,1400,+16,0.000000 
 3,1400,+19,0.000000 
 3,1400,+22,0.000000 
 3,1400,+25,0.000000 
 3,1700,+4,0.000000 
 3,1700,+7,0.000000 
 3,1700,+10,0.000000 
 3,1700,+13,0.000000 
 3,1700,+16,0.000000 
 3,1700,+19,0.000000 
 3,1700,+22,0.000000 
 3,1700,+25,0.000000 
 3,2000,+4,0.000000 
 3,2000,+7,0.000000 
 3,2000,+10,0.000000 
 3,2000,+13,0.000000 
 3,2000,+16,0.000000 
 3,2000,+19,0.000000 
 3,2000,+22,0.000000 
 3,2000,+25,0.000000 
 3,2000,+28,0.000000 
 3,2000,+31,0.000000 
 3,2000,+34,0.000000 
 3,2300,+4,0.000000 
 3,2300,+7,0.000000 
 3,2300,+10,0.000000 
 3,2300,+13,0.000000 
 3,2300,+16,0.000000 
 3,2300,+19,0.000000 
 3,2300,+22,0.000000 
 3,2300,+25,0.000000 
 3,2300,+28,0.000000 
 3,2300,+31,0.000000 
 3,2300,+34,0.000000 
 4,0200,+4,0.000000 
 4,0200,+7,0.000000 
 4,0200,+10,0.000000 
 4,0200,+13,0.000000 
 4,0200,+16,0.000000 
 4,0200,+19,0.000000 
 4,0200,+22,0.000000 
 4,0200,+25,0.000000 
 4,0200,+28,0.000000 
 4,0200,+31,0.000000 
 4,0500,+4,0.000000 
 4,0500,+7,0.000000 
 4,0500,+10,0.000000 
 4,0500,+13,0.000000 
 4,0500,+16,0.000000 
 4,0500,+19,0.000000 
 4,0500,+22,0.000000 
 4,0500,+25,0.000000 
 4,0500,+28,0.000000 
 4,0500,+31,0.000000 
 4,0800,+4,0.000000 
 4,0800,+7,0.000000 
 4,0800,+10,0.000000 
 4,0800,+13,0.000000 
 4,0800,+16,0.000000 
 4,0800,+19,0.000000 
 4,0800,+22,0.000000 
 4,0800,+25,0.000000 
 4,0800,+28,0.000000 
 4,1100,+4,0.000000 
 4,1100,+7,0.000000 
 4,1100,+10,0.000000 
 4,1100,+13,0.000000 
 4,1100,+16,0.000000 
 4,1100,+19,0.000000 
 4,1100,+22,0.000000 
 4,1100,+25,0.000000 
 4,1100,+28,0.000000 
 4,1400,+4,0.000000 
 4,1400,+7,0.000000 
 4,1400,+10,0.000000 
 4,1400,+13,0.000000 
 4,1400,+16,0.000000 
 4,1400,+19,0.000000 
 4,1400,+22,0.000000 
 4,1400,+25,0.000000 
 4,1700,+4,0.000000 
 4,1700,+7,0.000000 
 4,1700,+10,0.000000 
 4,1700,+13,0.000000 
 4,1700,+16,0.000000 
 4,1700,+19,0.000000 
 4,1700,+22,0.000000 
 4,1700,+25,0.000000 
 4,2000,+4,0.000000 
 4,2000,+7,0.000000 
 4,2000,+10,0.000000 
 4,2000,+13,0.000000 
 4,2000,+16,0.000000 
 4,2000,+19,0.000000 
 4,2000,+22,0.000000 
 4,2000,+25,0.000000 
 4,2000,+28,0.000000 
 4,2000,+31,0.000000 
 4,2000,+34,0.000000 
 4,2300,+4,0.000000 
 4,2300,+7,0.000000 
 4,2300,+10,0.000000 
 4,2300,+13,0.000000 
 4,2300,+16,0.000000 
 4,2300,+19,0.000000 
 4,2300,+22,0.000000 
 4,2300,+25,0.000000 
 4,2300,+28,0.000000 
 4,2300,+31,0.000000 
 4,2300,+34,0.000000 
 5,0200,+4,0.000000 
 5,0200,+7,0.000000 
 5,0200,+10,0.000000 
 5,0200,+13,0.000000 
 5,0200,+16,0.000000 
 5,0200,+19,0.000000 
 5,0200,+22,0.000000 
 5,0200,+25,0.000000 
 5,0200,+28,0.000000 
 5,0200,+31,0.000000 
 5,0500,+4,0.000000 
 5,0500,+7,0.000000 
 5,0500,+10,0.000000 
 5,0500,+13,0.000000 
 5,0500,+16,0.000000 
 5,0500,+19,0.000000 
 5,0500,+22,0.000000 
 5,0500,+25,0.000000 
 5,0500,+28,0.000000 
 5,0500,+31,0.000000 
 5,0800,+4,0.000000 
 5,0800,+7,0.000000 
 5,0800,+10,0.000000 
 5,0800,+13,0.000000 
 5,0800,+16,0.000000 
 5,0800,+19,0.000000 
 5,0800,+22,0.000000 
 5,0800,+25,0.000000 
 5,0800,+28,0.000000 
 5,1100,+4,0.000000 
 5,1100,+7,0.000000 
 5,1100,+10,0.000000 
 5,1100,+13,0.000000 
 5,1100,+16,0.000000 
 5,1100,+19,0.000000 
 5,1100,+22,0.000000 
 5,1100,+25,0.000000 
 5,1100,+28,0.000000 
 5,1400,+4,0.000000 
 5,1400,+7,0.000000 
 5,1400,+10,0.000000 
 5,1400,+13,0.000000 
 5,1400,+16,0.000000 
 5,1400,+19,0.000000 
 5,1400,+22,0.000000 
 5,1400,+25,0.000000 
 5,1700,+4,0.000000 
 5,1700,+7,0.000000 
 5,1700,+10,0.000000 
 5,1700,+13,0.000000 
 5,1700,+16,0.000000 
 5,1700,+19,0.000000 
 5,1700,+22,0.000000 
 5,1700,+25,0.000000 
 5,2000,+4,0.000000 
 5,2000,+7,0.000000 
 5,2000,+10,0.000000 
 5,2000,+13,0.000000 
 5,2000,+16,0.000000 
 5,2000,+19,0.000000 
 5,2000,+22,0.000000 
 5,2000,+25,0.000000 
 5,2000,+28,0.000000 
 5,2000,+31,0.000000 
 5,2000,+34,0.000000 
 5,2300,+4,0.000000 
 5,2300,+7,0.000000 
 5,2300,+10,0.000000 
 5,2300,+13,0.000000 
 5,2300,+16,0.000000 
 5,2300,+19,0.000000 
 5,2300,+22,0.000000 
 5,2300,+25,0.000000 
 5,2300,+28,0.000000 
 5,2300,+31,0.000000 
 5,2300,+34,0.000000 
 6,0200,+4,0.000000 
 6,0200,+7,0.000000 
 6,0200,+10,0.000000 
 6,0200,+13,0.000000 
 6,0200,+16,0.000000 
 6,0200,+19,0.000000 
 6,0200,+22,0.000000 
 6,0200,+25,0.000000 
 6,0200,+28,0.000000 
 6,0200,+31,0.000000 
 6,0500,+4,0.000000 
 6,0500,+7,0.000000 
 6,0500,+10,0.000000 
 6,0500,+13,0.000000 
 6,0500,+16,0.000000 
 6,0500,+19,0.000000 
 6,0500,+22,0.000000 
 6,0500,+25,0.000000 
 6,0500,+28,0.000000 
 6,0500,+31,0.000000 
 6,0800,+4,0.000000 
 6,0800,+7,0.000000 
 6,0800,+10,0.000000 
 6,0800,+13,0.000000 
 6,0800,+16,0.000000 
 6,0800,+19,0.000000 
 6,0800,+22,0.000000 
 6,0800,+25,0.000000 
 6,0800,+28,0.000000 
 6,1100,+4,0.000000 
 6,1100,+7,0.000000 
 6,1100,+10,0.000000 
 6,1100,+13,0.000000 
 6,1100,+16,0.000000 
 6,1100,+19,0.000000 
 6,1100,+22,0.000000 
 6,1100,+25,0.000000 
 6,1100,+28,0.000000 
 6,1400,+4,0.000000 
 6,1400,+7,0.000000 
 6,1400,+10,0.000000 
 6,1400,+13,0.000000 
 6,1400,+16,0.000000 
 6,1400,+19,0.000000 
 6,1400,+22,0.000000 
 6,1400,+25,0.000000 
 6,1700,+4,0.000000 
 6,1700,+7,0.000000 
 6,1700,+10,0.000000 
 6,1700,+13,0.000000 
 6,1700,+16,0.000000 
 6,1700,+19,0.000000 
 6,1700,+22,0.000000 
 6,1700,+25,0.000000 
 6,2000,+4,0.000000 
 6,2000,+7,0.000000 
 6,2000,+10,0.000000 
 6,2000,+13,0.000000 
 6,2000,+16,0.000000 
 6,2000,+19,0.000000 
 6,2000,+22,0.000000 
 6,2000,+25,0.000000 
 6,2000,+28,0.000000 
 6,2000,+31,0.000000 
 6,2000,+34,0.000000 
 6,2300,+4,0.000000 
 6,2300,+7,0.000000 
 6,2300,+10,0.000000 
 6,2300,+13,0.000000 
 6,2300,+16,0.000000 
 6,2300,+19,0.000000 
 6,2300,+22,0.000000 
 6,2300,+25,0.000000 
 6,2300,+28,0.000000 
 6,2300,+31,0.000000 
 6,2300,+34,0.000000 
 7,0200,+4,0.000000 
 7,0200,+7,0.000000 
 7,0200,+10,0.000000 
 7,0200,+13,0.000000 
 7,0200,+16,0.000000 
 7,0200,+19,0.000000 
 7,0200,+22,0.000000 
 7,0200,+25,0.000000 
 7,0200,+28,0.000000 
 7,0200,+31,0.000000 
 7,0500,+4,0.000000 
 7,0500,+7,0.000000 
 7,0500,+10,0.000000 
 7,0500,+13,0.000000 
 7,0500,+16,0.000000 
 7,0500,+19,0.000000 
 7,0500,+22,0.000000 
 7,0500,+25,0.000000 
 7,0500,+28,0.000000 
 7,0500,+31,0.000000 
 7,0800,+4,0.000000 
 7,0800,+7,0.000000 
 7,0800,+10,0.000000 
 7,0800,+13,0.000000 
 7,0800,+16,0.000000 
 7,0800,+19,0.000000 
 7,0800,+22,0.000000 
 7,0800,+25,0.000000 
 7,0800,+28,0.000000 
 7,1100,+4,0.000000 
 7,1100,+7,0.000000 
 7,1100,+10,0.000000 
 7,1100,+13,0.000000 
 7,1100,+16,0.000000 
 7,1100,+19,0.000000 
 7,1100,+22,0.000000 
 7,1100,+25,0.000000 
 7,1100,+28,0.000000 
 7,1400,+4,0.000000 
 7,1400,+7,0.000000 
 7,1400,+10,0.000000 
 7,1400,+13,0.000000 
 7,1400,+16,0.000000 
 7,1400,+19,0.000000 
 7,1400,+22,0.000000 
 7,1400,+25,0.000000 
 7,1700,+4,0.000000 
 7,1700,+7,0.000000 
 7,1700,+10,0.000000 
 7,1700,+13,0.000000 
 7,1700,+16,0.000000 
 7,1700,+19,0.000000 
 7,1700,+22,0.000000 
 7,1700,+25,0.000000 
 7,2000,+4,0.000000 
 7,2000,+7,0.000000 
 7,2000,+10,0.000000 
 7,2000,+13,0.000000 
 7,2000,+16,0.000000 
 7,2000,+19,0.000000 
 7,2000,+22,0.000000 
 7,2000,+25,0.000000 
 7,2000,+28,0.000000 
 7,2000,+31,0.000000 
 7,2000,+34,0.000000 
 7,2300,+4,0.000000 
 7,2300,+7,0.000000 
 7,2300,+10,0.000000 
 7,2300,+13,0.000000 
 7,2300,+16,0.000000 
 7,2300,+19,0.000000 
 7,2300,+22,0.000000 
 7,2300,+25,0.000000 
 7,2300,+28,0.000000 
 7,2300,+31,0.000000 
 7,2300,+34,0.000000 
 8,0200,+4,0.000000 
 8,0200,+7,0.000000 
 8,0200,+10,0.000000 
 8,0200,+13,0.000000 
 8,0200,+16,0.000000 
 8,0200,+19,0.000000 
 8,0200,+22,0.000000 
 8,0200,+25,0.000000 
 8,0200,+28,0.000000 
 8,0200,+31,0.000000 
 8,0500,+4,0.000000 
 8,0500,+7,0.000000 
 8,0500,+10,0.000000 
 8,0500,+13,0.000000 
 8,0500,+16,0.000000 
 8,0500,+19,0.000000 
 8,0500,+22,0.000000 
 8,0500,+25,0.000000 
 8,0500,+28,0.000000 
 8,0500,+31,0.000000 
 8,0800,+4,0.000000 
 8,0800,+7,0.000000 
