 format: day,hour,forecast,value  location:60_127 Start : 20150101 
 1,0200,+4,305.000000 
 1,0200,+7,304.000000 
 1,0200,+10,298.000000 
 1,0200,+13,293.000000 
 1,0200,+16,303.000000 
 1,0200,+19,290.000000 
 1,0200,+22,248.000000 
 1,0200,+25,324.000000 
 1,0200,+28,311.000000 
 1,0200,+31,310.000000 
 1,0200,+34,316.000000 
 1,0200,+37,301.000000 
 1,0200,+40,262.000000 
 1,0200,+43,175.000000 
 1,0200,+46,102.000000 
 1,0200,+49,129.000000 
 1,0200,+52,159.000000 
 1,0200,+55,150.000000 
 1,0200,+58,146.000000 
 1,0200,+61,142.000000 
 1,0500,+4,304.000000 
 1,0500,+7,298.000000 
 1,0500,+10,293.000000 
 1,0500,+13,303.000000 
 1,0500,+16,290.000000 
 1,0500,+19,248.000000 
 1,0500,+22,324.000000 
 1,0500,+25,311.000000 
 1,0500,+28,310.000000 
 1,0500,+31,316.000000 
 1,0500,+34,301.000000 
 1,0500,+37,262.000000 
 1,0500,+40,175.000000 
 1,0500,+43,102.000000 
 1,0500,+46,129.000000 
 1,0500,+49,159.000000 
 1,0500,+52,150.000000 
 1,0500,+55,146.000000 
 1,0500,+58,142.000000 
 1,0800,+4,298.000000 
 1,0800,+7,293.000000 
 1,0800,+10,303.000000 
 1,0800,+13,290.000000 
 1,0800,+16,248.000000 
 1,0800,+19,324.000000 
 1,0800,+22,311.000000 
 1,0800,+25,310.000000 
 1,0800,+28,316.000000 
 1,0800,+31,301.000000 
 1,0800,+34,262.000000 
 1,0800,+37,175.000000 
 1,0800,+40,102.000000 
 1,0800,+43,129.000000 
 1,0800,+46,159.000000 
 1,0800,+49,150.000000 
 1,0800,+52,146.000000 
 1,0800,+55,142.000000 
 1,1100,+4,293.000000 
 1,1100,+7,303.000000 
 1,1100,+10,290.000000 
 1,1100,+13,248.000000 
 1,1100,+16,324.000000 
 1,1100,+19,311.000000 
 1,1100,+22,310.000000 
 1,1100,+25,316.000000 
 1,1100,+28,301.000000 
 1,1100,+31,262.000000 
 1,1100,+34,175.000000 
 1,1100,+37,102.000000 
 1,1100,+40,129.000000 
 1,1100,+43,159.000000 
 1,1100,+46,150.000000 
 1,1100,+49,146.000000 
 1,1100,+52,142.000000 
 1,1400,+4,303.000000 
 1,1400,+7,290.000000 
 1,1400,+10,248.000000 
 1,1400,+13,324.000000 
 1,1400,+16,311.000000 
 1,1400,+19,310.000000 
 1,1400,+22,316.000000 
 1,1400,+25,301.000000 
 1,1400,+28,262.000000 
 1,1400,+31,175.000000 
 1,1400,+34,102.000000 
 1,1400,+37,129.000000 
 1,1400,+40,159.000000 
 1,1400,+43,150.000000 
 1,1400,+46,146.000000 
 1,1400,+49,142.000000 
 1,1700,+4,290.000000 
 1,1700,+7,248.000000 
 1,1700,+10,324.000000 
 1,1700,+13,311.000000 
 1,1700,+16,310.000000 
 1,1700,+19,316.000000 
 1,1700,+22,301.000000 
 1,1700,+25,262.000000 
 1,1700,+28,175.000000 
 1,1700,+31,102.000000 
 1,1700,+34,129.000000 
 1,1700,+37,159.000000 
 1,1700,+40,150.000000 
 1,1700,+43,146.000000 
 1,1700,+46,142.000000 
 1,2000,+4,315.000000 
 1,2000,+7,324.000000 
 1,2000,+10,316.000000 
 1,2000,+13,310.000000 
 1,2000,+16,317.000000 
 1,2000,+19,291.000000 
 1,2000,+22,299.000000 
 1,2000,+25,238.000000 
 1,2000,+28,115.000000 
