 format: day,hour,forecast,value  location:60_127 Start : 20160101 
 1,0200,+4,40.000000 
 1,0200,+7,55.000000 
 1,0200,+10,65.000000 
 1,0200,+13,75.000000 
 1,0200,+16,80.000000 
 1,0200,+19,80.000000 
 1,0200,+22,70.000000 
 1,0200,+25,55.000000 
 1,0200,+28,45.000000 
 1,0200,+31,55.000000 
 1,0200,+34,65.000000 
 1,0200,+37,75.000000 
 1,0200,+40,85.000000 
 1,0200,+43,85.000000 
 1,0200,+46,70.000000 
 1,0200,+49,55.000000 
 1,0200,+52,40.000000 
 1,0200,+55,50.000000 
 1,0200,+58,65.000000 
 1,0200,+61,75.000000 
 1,0500,+4,55.000000 
 1,0500,+7,65.000000 
 1,0500,+10,75.000000 
 1,0500,+13,80.000000 
 1,0500,+16,80.000000 
 1,0500,+19,70.000000 
 1,0500,+22,55.000000 
 1,0500,+25,45.000000 
 1,0500,+28,55.000000 
 1,0500,+31,65.000000 
 1,0500,+34,75.000000 
 1,0500,+37,85.000000 
 1,0500,+40,85.000000 
 1,0500,+43,70.000000 
 1,0500,+46,55.000000 
 1,0500,+49,40.000000 
 1,0500,+52,50.000000 
 1,0500,+55,65.000000 
 1,0500,+58,75.000000 
 1,0800,+4,65.000000 
 1,0800,+7,75.000000 
 1,0800,+10,80.000000 
 1,0800,+13,80.000000 
 1,0800,+16,70.000000 
 1,0800,+19,55.000000 
 1,0800,+22,45.000000 
 1,0800,+25,55.000000 
 1,0800,+28,65.000000 
 1,0800,+31,75.000000 
 1,0800,+34,85.000000 
 1,0800,+37,85.000000 
 1,0800,+40,70.000000 
 1,0800,+43,55.000000 
 1,0800,+46,40.000000 
 1,0800,+49,50.000000 
 1,0800,+52,65.000000 
 1,0800,+55,75.000000 
 1,1100,+4,75.000000 
 1,1100,+7,80.000000 
 1,1100,+10,80.000000 
 1,1100,+13,70.000000 
 1,1100,+16,55.000000 
 1,1100,+19,45.000000 
 1,1100,+22,55.000000 
 1,1100,+25,65.000000 
 1,1100,+28,75.000000 
 1,1100,+31,85.000000 
 1,1100,+34,85.000000 
 1,1100,+37,70.000000 
 1,1100,+40,55.000000 
 1,1100,+43,40.000000 
 1,1100,+46,50.000000 
 1,1100,+49,65.000000 
 1,1100,+52,75.000000 
 1,1400,+4,80.000000 
 1,1400,+7,80.000000 
 1,1400,+10,70.000000 
 1,1400,+13,55.000000 
 1,1400,+16,45.000000 
 1,1400,+19,55.000000 
 1,1400,+22,65.000000 
 1,1400,+25,75.000000 
 1,1400,+28,85.000000 
 1,1400,+31,85.000000 
 1,1400,+34,70.000000 
 1,1400,+37,55.000000 
 1,1400,+40,40.000000 
 1,1400,+43,50.000000 
 1,1400,+46,65.000000 
 1,1400,+49,75.000000 
 1,1700,+4,80.000000 
 1,1700,+7,70.000000 
 1,1700,+10,55.000000 
 1,1700,+13,45.000000 
 1,1700,+16,55.000000 
 1,1700,+19,65.000000 
 1,1700,+22,75.000000 
 1,1700,+25,85.000000 
 1,1700,+28,85.000000 
 1,1700,+31,70.000000 
 1,1700,+34,55.000000 
 1,1700,+37,40.000000 
 1,1700,+40,50.000000 
 1,1700,+43,65.000000 
 1,1700,+46,75.000000 
 1,2000,+4,65.000000 
 1,2000,+7,55.000000 
 1,2000,+10,45.000000 
 1,2000,+13,55.000000 
 1,2000,+16,65.000000 
 1,2000,+19,75.000000 
 1,2000,+22,85.000000 
 1,2000,+25,85.000000 
 1,2000,+28,70.000000 
 1,2000,+31,55.000000 
 1,2000,+34,40.000000 
 1,2000,+37,50.000000 
 1,2000,+40,65.000000 
 1,2000,+43,75.000000 
 1,2000,+46,80.000000 
 1,2000,+49,80.000000 
 1,2000,+52,65.000000 
 1,2000,+55,50.000000 
 1,2000,+58,40.000000 
 1,2000,+61,50.000000 
 1,2000,+64,60.000000 
 1,2000,+67,70.000000 
 1,2300,+4,55.000000 
 1,2300,+7,45.000000 
 1,2300,+10,55.000000 
 1,2300,+13,65.000000 
 1,2300,+16,75.000000 
 1,2300,+19,85.000000 
 1,2300,+22,85.000000 
 1,2300,+25,70.000000 
 1,2300,+28,55.000000 
 1,2300,+31,40.000000 
 1,2300,+34,50.000000 
 1,2300,+37,65.000000 
 1,2300,+40,75.000000 
 1,2300,+43,80.000000 
 1,2300,+46,80.000000 
 1,2300,+49,65.000000 
 1,2300,+52,50.000000 
 1,2300,+55,40.000000 
 1,2300,+58,50.000000 
 1,2300,+61,60.000000 
 1,2300,+64,70.000000 
 2,0200,+4,45.000000 
 2,0200,+7,55.000000 
 2,0200,+10,65.000000 
 2,0200,+13,75.000000 
 2,0200,+16,85.000000 
 2,0200,+19,85.000000 
 2,0200,+22,70.000000 
 2,0200,+25,55.000000 
 2,0200,+28,40.000000 
 2,0200,+31,50.000000 
 2,0200,+34,65.000000 
 2,0200,+37,75.000000 
 2,0200,+40,80.000000 
 2,0200,+43,80.000000 
 2,0200,+46,65.000000 
 2,0200,+49,50.000000 
 2,0200,+52,40.000000 
 2,0200,+55,50.000000 
 2,0200,+58,60.000000 
 2,0200,+61,70.000000 
 2,0500,+4,55.000000 
 2,0500,+7,65.000000 
 2,0500,+10,75.000000 
 2,0500,+13,85.000000 
 2,0500,+16,85.000000 
 2,0500,+19,70.000000 
 2,0500,+22,55.000000 
 2,0500,+25,40.000000 
 2,0500,+28,50.000000 
 2,0500,+31,65.000000 
 2,0500,+34,75.000000 
 2,0500,+37,80.000000 
 2,0500,+40,80.000000 
 2,0500,+43,65.000000 
 2,0500,+46,50.000000 
 2,0500,+49,40.000000 
 2,0500,+52,50.000000 
 2,0500,+55,60.000000 
 2,0500,+58,70.000000 
 2,0800,+4,65.000000 
 2,0800,+7,75.000000 
 2,0800,+10,85.000000 
 2,0800,+13,85.000000 
 2,0800,+16,70.000000 
 2,0800,+19,55.000000 
 2,0800,+22,40.000000 
 2,0800,+25,50.000000 
 2,0800,+28,65.000000 
 2,0800,+31,75.000000 
 2,0800,+34,80.000000 
 2,0800,+37,80.000000 
 2,0800,+40,65.000000 
 2,0800,+43,50.000000 
 2,0800,+46,40.000000 
 2,0800,+49,50.000000 
 2,0800,+52,60.000000 
 2,0800,+55,70.000000 
 2,1100,+4,90.000000 
 2,1100,+7,90.000000 
 2,1100,+10,90.000000 
 2,1100,+13,70.000000 
 2,1100,+16,55.000000 
 2,1100,+19,40.000000 
 2,1100,+22,50.000000 
 2,1100,+25,65.000000 
 2,1100,+28,75.000000 
 2,1100,+31,80.000000 
 2,1100,+34,80.000000 
 2,1100,+37,65.000000 
 2,1100,+40,50.000000 
 2,1100,+43,40.000000 
 2,1100,+46,50.000000 
 2,1100,+49,60.000000 
 2,1100,+52,70.000000 
 2,1400,+4,90.000000 
 2,1400,+7,90.000000 
 2,1400,+10,70.000000 
 2,1400,+13,55.000000 
 2,1400,+16,40.000000 
 2,1400,+19,50.000000 
 2,1400,+22,65.000000 
 2,1400,+25,75.000000 
 2,1400,+28,80.000000 
 2,1400,+31,80.000000 
 2,1400,+34,65.000000 
 2,1400,+37,50.000000 
 2,1400,+40,40.000000 
 2,1400,+43,50.000000 
 2,1400,+46,60.000000 
 2,1400,+49,70.000000 
 2,1700,+4,90.000000 
 2,1700,+7,70.000000 
 2,1700,+10,55.000000 
 2,1700,+13,40.000000 
 2,1700,+16,50.000000 
 2,1700,+19,65.000000 
 2,1700,+22,75.000000 
 2,1700,+25,80.000000 
 2,1700,+28,80.000000 
 2,1700,+31,65.000000 
 2,1700,+34,50.000000 
 2,1700,+37,40.000000 
 2,1700,+40,50.000000 
 2,1700,+43,60.000000 
 2,1700,+46,70.000000 
 2,2000,+4,70.000000 
 2,2000,+7,55.000000 
 2,2000,+10,40.000000 
 2,2000,+13,50.000000 
 2,2000,+16,65.000000 
 2,2000,+19,75.000000 
 2,2000,+22,80.000000 
 2,2000,+25,80.000000 
 2,2000,+28,65.000000 
 2,2000,+31,50.000000 
 2,2000,+34,40.000000 
 2,2000,+37,50.000000 
 2,2000,+40,60.000000 
 2,2000,+43,70.000000 
 2,2000,+46,45.000000 
 2,2000,+49,55.000000 
 2,2000,+52,45.000000 
 2,2000,+55,35.000000 
 2,2000,+58,35.000000 
 2,2000,+61,35.000000 
 2,2000,+64,45.000000 
 2,2000,+67,50.000000 
 2,2300,+4,55.000000 
 2,2300,+7,40.000000 
 2,2300,+10,50.000000 
 2,2300,+13,65.000000 
 2,2300,+16,75.000000 
 2,2300,+19,80.000000 
 2,2300,+22,80.000000 
 2,2300,+25,65.000000 
 2,2300,+28,50.000000 
 2,2300,+31,40.000000 
 2,2300,+34,50.000000 
 2,2300,+37,60.000000 
 2,2300,+40,70.000000 
 2,2300,+43,45.000000 
 2,2300,+46,55.000000 
 2,2300,+49,45.000000 
 2,2300,+52,35.000000 
 2,2300,+55,35.000000 
 2,2300,+58,35.000000 
 2,2300,+61,45.000000 
 2,2300,+64,50.000000 
 3,0200,+4,45.000000 
 3,0200,+7,50.000000 
 3,0200,+10,65.000000 
 3,0200,+13,75.000000 
 3,0200,+16,80.000000 
 3,0200,+19,80.000000 
 3,0200,+22,65.000000 
 3,0200,+25,50.000000 
 3,0200,+28,40.000000 
 3,0200,+31,50.000000 
 3,0200,+34,60.000000 
 3,0200,+37,70.000000 
 3,0200,+40,45.000000 
 3,0200,+43,55.000000 
 3,0200,+46,45.000000 
 3,0200,+49,35.000000 
 3,0200,+52,35.000000 
 3,0200,+55,35.000000 
 3,0200,+58,45.000000 
 3,0200,+61,50.000000 
 3,0500,+4,55.000000 
 3,0500,+7,65.000000 
 3,0500,+10,75.000000 
 3,0500,+13,80.000000 
 3,0500,+16,80.000000 
 3,0500,+19,65.000000 
 3,0500,+22,50.000000 
 3,0500,+25,40.000000 
 3,0500,+28,50.000000 
 3,0500,+31,60.000000 
 3,0500,+34,70.000000 
 3,0500,+37,45.000000 
 3,0500,+40,55.000000 
 3,0500,+43,45.000000 
 3,0500,+46,35.000000 
 3,0500,+49,35.000000 
 3,0500,+52,35.000000 
 3,0500,+55,45.000000 
 3,0500,+58,50.000000 
 3,0800,+4,65.000000 
 3,0800,+7,75.000000 
 3,0800,+10,80.000000 
 3,0800,+13,80.000000 
 3,0800,+16,65.000000 
 3,0800,+19,50.000000 
 3,0800,+22,40.000000 
 3,0800,+25,45.000000 
 3,0800,+28,45.000000 
 3,0800,+31,50.000000 
 3,0800,+34,55.000000 
 3,0800,+37,60.000000 
 3,0800,+40,45.000000 
 3,0800,+43,35.000000 
 3,0800,+46,35.000000 
 3,0800,+49,35.000000 
 3,0800,+52,45.000000 
 3,0800,+55,50.000000 
 3,1100,+4,85.000000 
 3,1100,+7,90.000000 
 3,1100,+10,90.000000 
 3,1100,+13,75.000000 
 3,1100,+16,55.000000 
 3,1100,+19,40.000000 
 3,1100,+22,45.000000 
 3,1100,+25,45.000000 
 3,1100,+28,50.000000 
 3,1100,+31,55.000000 
 3,1100,+34,60.000000 
 3,1100,+37,45.000000 
 3,1100,+40,35.000000 
 3,1100,+43,35.000000 
 3,1100,+46,35.000000 
 3,1100,+49,45.000000 
 3,1100,+52,50.000000 
 3,1400,+4,90.000000 
 3,1400,+7,90.000000 
 3,1400,+10,75.000000 
 3,1400,+13,55.000000 
 3,1400,+16,40.000000 
 3,1400,+19,45.000000 
 3,1400,+22,45.000000 
 3,1400,+25,50.000000 
 3,1400,+28,55.000000 
 3,1400,+31,60.000000 
 3,1400,+34,45.000000 
 3,1400,+37,35.000000 
 3,1400,+40,35.000000 
 3,1400,+43,35.000000 
 3,1400,+46,45.000000 
 3,1400,+49,50.000000 
 3,1700,+4,90.000000 
 3,1700,+7,75.000000 
 3,1700,+10,55.000000 
 3,1700,+13,40.000000 
 3,1700,+16,45.000000 
 3,1700,+19,45.000000 
 3,1700,+22,50.000000 
 3,1700,+25,55.000000 
 3,1700,+28,60.000000 
 3,1700,+31,45.000000 
 3,1700,+34,35.000000 
 3,1700,+37,35.000000 
 3,1700,+40,35.000000 
 3,1700,+43,45.000000 
 3,1700,+46,50.000000 
 3,2000,+4,75.000000 
 3,2000,+7,55.000000 
 3,2000,+10,40.000000 
 3,2000,+13,45.000000 
 3,2000,+16,45.000000 
 3,2000,+19,50.000000 
