 format: day,hour,forecast,value  location:60_127 Start : 20160101 
 1,0200,+4,199.000000 
 1,0200,+7,191.000000 
 1,0200,+10,225.000000 
 1,0200,+13,225.000000 
 1,0200,+16,164.000000 
 1,0200,+19,173.000000 
 1,0200,+22,183.000000 
 1,0200,+25,217.000000 
 1,0200,+28,243.000000 
 1,0200,+31,249.000000 
 1,0200,+34,254.000000 
 1,0200,+37,262.000000 
 1,0200,+40,294.000000 
 1,0200,+43,328.000000 
 1,0200,+46,300.000000 
 1,0200,+49,292.000000 
 1,0200,+52,287.000000 
 1,0200,+55,298.000000 
 1,0200,+58,321.000000 
 1,0200,+61,298.000000 
 1,0500,+4,191.000000 
 1,0500,+7,225.000000 
 1,0500,+10,225.000000 
 1,0500,+13,164.000000 
 1,0500,+16,173.000000 
 1,0500,+19,183.000000 
 1,0500,+22,217.000000 
 1,0500,+25,243.000000 
 1,0500,+28,249.000000 
 1,0500,+31,254.000000 
 1,0500,+34,262.000000 
 1,0500,+37,294.000000 
 1,0500,+40,328.000000 
 1,0500,+43,300.000000 
 1,0500,+46,292.000000 
 1,0500,+49,287.000000 
 1,0500,+52,298.000000 
 1,0500,+55,321.000000 
 1,0500,+58,298.000000 
 1,0800,+4,225.000000 
 1,0800,+7,225.000000 
 1,0800,+10,164.000000 
 1,0800,+13,173.000000 
 1,0800,+16,183.000000 
 1,0800,+19,217.000000 
 1,0800,+22,243.000000 
 1,0800,+25,249.000000 
 1,0800,+28,254.000000 
 1,0800,+31,262.000000 
 1,0800,+34,294.000000 
 1,0800,+37,328.000000 
 1,0800,+40,300.000000 
 1,0800,+43,292.000000 
 1,0800,+46,287.000000 
 1,0800,+49,298.000000 
 1,0800,+52,321.000000 
 1,0800,+55,298.000000 
 1,1100,+4,225.000000 
 1,1100,+7,164.000000 
 1,1100,+10,173.000000 
 1,1100,+13,183.000000 
 1,1100,+16,217.000000 
 1,1100,+19,243.000000 
 1,1100,+22,249.000000 
 1,1100,+25,254.000000 
 1,1100,+28,262.000000 
 1,1100,+31,294.000000 
 1,1100,+34,328.000000 
 1,1100,+37,300.000000 
 1,1100,+40,292.000000 
 1,1100,+43,287.000000 
 1,1100,+46,298.000000 
 1,1100,+49,321.000000 
 1,1100,+52,298.000000 
 1,1400,+4,164.000000 
 1,1400,+7,173.000000 
 1,1400,+10,183.000000 
 1,1400,+13,217.000000 
 1,1400,+16,243.000000 
 1,1400,+19,249.000000 
 1,1400,+22,254.000000 
 1,1400,+25,262.000000 
 1,1400,+28,294.000000 
 1,1400,+31,328.000000 
 1,1400,+34,300.000000 
 1,1400,+37,292.000000 
 1,1400,+40,287.000000 
 1,1400,+43,298.000000 
 1,1400,+46,321.000000 
 1,1400,+49,298.000000 
 1,1700,+4,173.000000 
 1,1700,+7,183.000000 
 1,1700,+10,217.000000 
 1,1700,+13,243.000000 
 1,1700,+16,249.000000 
 1,1700,+19,254.000000 
 1,1700,+22,262.000000 
 1,1700,+25,294.000000 
 1,1700,+28,328.000000 
 1,1700,+31,300.000000 
 1,1700,+34,292.000000 
 1,1700,+37,287.000000 
 1,1700,+40,298.000000 
 1,1700,+43,321.000000 
 1,1700,+46,298.000000 
 1,2000,+4,183.000000 
 1,2000,+7,217.000000 
 1,2000,+10,243.000000 
 1,2000,+13,249.000000 
 1,2000,+16,254.000000 
 1,2000,+19,262.000000 
 1,2000,+22,294.000000 
 1,2000,+25,328.000000 
 1,2000,+28,300.000000 
 1,2000,+31,292.000000 
 1,2000,+34,287.000000 
 1,2000,+37,298.000000 
 1,2000,+40,321.000000 
 1,2000,+43,298.000000 
 1,2000,+46,300.000000 
 1,2000,+49,286.000000 
 1,2000,+52,297.000000 
 1,2000,+55,311.000000 
 1,2000,+58,294.000000 
 1,2000,+61,288.000000 
 1,2000,+64,303.000000 
 1,2000,+67,304.000000 
 1,2300,+4,217.000000 
 1,2300,+7,243.000000 
 1,2300,+10,249.000000 
 1,2300,+13,254.000000 
 1,2300,+16,262.000000 
 1,2300,+19,294.000000 
 1,2300,+22,328.000000 
 1,2300,+25,300.000000 
 1,2300,+28,292.000000 
 1,2300,+31,287.000000 
 1,2300,+34,298.000000 
 1,2300,+37,321.000000 
 1,2300,+40,298.000000 
 1,2300,+43,300.000000 
 1,2300,+46,286.000000 
 1,2300,+49,297.000000 
 1,2300,+52,311.000000 
 1,2300,+55,294.000000 
 1,2300,+58,288.000000 
 1,2300,+61,303.000000 
 1,2300,+64,304.000000 
 2,0200,+4,243.000000 
 2,0200,+7,249.000000 
 2,0200,+10,254.000000 
 2,0200,+13,262.000000 
 2,0200,+16,294.000000 
 2,0200,+19,328.000000 
 2,0200,+22,300.000000 
 2,0200,+25,292.000000 
 2,0200,+28,287.000000 
 2,0200,+31,298.000000 
 2,0200,+34,321.000000 
 2,0200,+37,298.000000 
 2,0200,+40,300.000000 
 2,0200,+43,286.000000 
 2,0200,+46,297.000000 
 2,0200,+49,311.000000 
 2,0200,+52,294.000000 
 2,0200,+55,288.000000 
 2,0200,+58,303.000000 
 2,0200,+61,304.000000 
 2,0500,+4,249.000000 
 2,0500,+7,254.000000 
 2,0500,+10,262.000000 
 2,0500,+13,294.000000 
 2,0500,+16,328.000000 
 2,0500,+19,300.000000 
 2,0500,+22,292.000000 
 2,0500,+25,287.000000 
 2,0500,+28,298.000000 
 2,0500,+31,321.000000 
 2,0500,+34,298.000000 
 2,0500,+37,300.000000 
 2,0500,+40,286.000000 
 2,0500,+43,297.000000 
 2,0500,+46,311.000000 
 2,0500,+49,294.000000 
 2,0500,+52,288.000000 
 2,0500,+55,303.000000 
 2,0500,+58,304.000000 
 2,0800,+4,254.000000 
 2,0800,+7,262.000000 
 2,0800,+10,294.000000 
 2,0800,+13,328.000000 
 2,0800,+16,300.000000 
 2,0800,+19,292.000000 
 2,0800,+22,287.000000 
 2,0800,+25,298.000000 
 2,0800,+28,321.000000 
 2,0800,+31,298.000000 
 2,0800,+34,301.000000 
 2,0800,+37,286.000000 
 2,0800,+40,297.000000 
 2,0800,+43,311.000000 
 2,0800,+46,294.000000 
 2,0800,+49,288.000000 
 2,0800,+52,303.000000 
 2,0800,+55,304.000000 
 2,1100,+4,262.000000 
 2,1100,+7,294.000000 
 2,1100,+10,328.000000 
 2,1100,+13,300.000000 
 2,1100,+16,292.000000 
 2,1100,+19,287.000000 
 2,1100,+22,298.000000 
 2,1100,+25,321.000000 
 2,1100,+28,298.000000 
 2,1100,+31,301.000000 
 2,1100,+34,286.000000 
 2,1100,+37,297.000000 
 2,1100,+40,311.000000 
 2,1100,+43,294.000000 
 2,1100,+46,288.000000 
 2,1100,+49,303.000000 
 2,1100,+52,304.000000 
 2,1400,+4,294.000000 
 2,1400,+7,328.000000 
 2,1400,+10,300.000000 
 2,1400,+13,292.000000 
 2,1400,+16,287.000000 
 2,1400,+19,298.000000 
 2,1400,+22,321.000000 
 2,1400,+25,298.000000 
 2,1400,+28,301.000000 
 2,1400,+31,286.000000 
 2,1400,+34,297.000000 
 2,1400,+37,311.000000 
 2,1400,+40,294.000000 
 2,1400,+43,288.000000 
 2,1400,+46,303.000000 
 2,1400,+49,304.000000 
 2,1700,+4,328.000000 
 2,1700,+7,300.000000 
 2,1700,+10,292.000000 
 2,1700,+13,287.000000 
 2,1700,+16,298.000000 
 2,1700,+19,321.000000 
 2,1700,+22,298.000000 
 2,1700,+25,301.000000 
 2,1700,+28,286.000000 
 2,1700,+31,297.000000 
 2,1700,+34,311.000000 
 2,1700,+37,294.000000 
 2,1700,+40,288.000000 
 2,1700,+43,303.000000 
 2,1700,+46,304.000000 
 2,2000,+4,135.000000 
 2,2000,+7,180.000000 
 2,2000,+10,225.000000 
 2,2000,+13,225.000000 
 2,2000,+16,225.000000 
 2,2000,+19,270.000000 
 2,2000,+22,301.000000 
 2,2000,+25,286.000000 
 2,2000,+28,297.000000 
 2,2000,+31,311.000000 
 2,2000,+34,294.000000 
 2,2000,+37,288.000000 
 2,2000,+40,303.000000 
 2,2000,+43,304.000000 
 2,2000,+46,315.000000 
 2,2000,+49,317.000000 
 2,2000,+52,304.000000 
 2,2000,+55,306.000000 
 2,2000,+58,304.000000 
 2,2000,+61,301.000000 
 2,2000,+64,292.000000 
 2,2000,+67,304.000000 
 2,2300,+4,180.000000 
 2,2300,+7,225.000000 
 2,2300,+10,225.000000 
 2,2300,+13,225.000000 
 2,2300,+16,270.000000 
 2,2300,+19,301.000000 
 2,2300,+22,286.000000 
 2,2300,+25,297.000000 
 2,2300,+28,311.000000 
 2,2300,+31,294.000000 
 2,2300,+34,288.000000 
 2,2300,+37,303.000000 
 2,2300,+40,304.000000 
 2,2300,+43,315.000000 
 2,2300,+46,317.000000 
 2,2300,+49,304.000000 
 2,2300,+52,306.000000 
 2,2300,+55,304.000000 
 2,2300,+58,301.000000 
 2,2300,+61,292.000000 
 2,2300,+64,304.000000 
 3,0200,+4,225.000000 
 3,0200,+7,225.000000 
 3,0200,+10,225.000000 
 3,0200,+13,270.000000 
 3,0200,+16,301.000000 
 3,0200,+19,286.000000 
 3,0200,+22,297.000000 
 3,0200,+25,311.000000 
 3,0200,+28,294.000000 
 3,0200,+31,288.000000 
 3,0200,+34,303.000000 
 3,0200,+37,304.000000 
 3,0200,+40,315.000000 
 3,0200,+43,317.000000 
 3,0200,+46,304.000000 
 3,0200,+49,306.000000 
 3,0200,+52,304.000000 
 3,0200,+55,301.000000 
 3,0200,+58,292.000000 
 3,0200,+61,304.000000 
 3,0500,+4,225.000000 
 3,0500,+7,225.000000 
 3,0500,+10,270.000000 
 3,0500,+13,301.000000 
 3,0500,+16,286.000000 
 3,0500,+19,297.000000 
 3,0500,+22,311.000000 
 3,0500,+25,294.000000 
 3,0500,+28,288.000000 
 3,0500,+31,303.000000 
 3,0500,+34,304.000000 
 3,0500,+37,315.000000 
 3,0500,+40,317.000000 
 3,0500,+43,304.000000 
 3,0500,+46,306.000000 
 3,0500,+49,304.000000 
 3,0500,+52,301.000000 
 3,0500,+55,292.000000 
 3,0500,+58,304.000000 
 3,0800,+4,225.000000 
 3,0800,+7,270.000000 
 3,0800,+10,301.000000 
 3,0800,+13,286.000000 
 3,0800,+16,297.000000 
 3,0800,+19,311.000000 
 3,0800,+22,294.000000 
 3,0800,+25,288.000000 
 3,0800,+28,303.000000 
 3,0800,+31,304.000000 
 3,0800,+34,315.000000 
 3,0800,+37,317.000000 
 3,0800,+40,304.000000 
 3,0800,+43,307.000000 
 3,0800,+46,304.000000 
 3,0800,+49,301.000000 
 3,0800,+52,292.000000 
 3,0800,+55,304.000000 
 3,1100,+4,270.000000 
 3,1100,+7,301.000000 
 3,1100,+10,286.000000 
 3,1100,+13,297.000000 
 3,1100,+16,311.000000 
 3,1100,+19,294.000000 
 3,1100,+22,288.000000 
 3,1100,+25,303.000000 
 3,1100,+28,304.000000 
 3,1100,+31,315.000000 
 3,1100,+34,317.000000 
 3,1100,+37,304.000000 
 3,1100,+40,307.000000 
 3,1100,+43,304.000000 
 3,1100,+46,301.000000 
 3,1100,+49,292.000000 
 3,1100,+52,304.000000 
 3,1400,+4,301.000000 
 3,1400,+7,286.000000 
 3,1400,+10,297.000000 
 3,1400,+13,311.000000 
 3,1400,+16,294.000000 
 3,1400,+19,288.000000 
 3,1400,+22,303.000000 
 3,1400,+25,304.000000 
 3,1400,+28,315.000000 
 3,1400,+31,317.000000 
 3,1400,+34,304.000000 
 3,1400,+37,307.000000 
 3,1400,+40,304.000000 
 3,1400,+43,301.000000 
 3,1400,+46,292.000000 
 3,1400,+49,304.000000 
 3,1700,+4,286.000000 
 3,1700,+7,297.000000 
 3,1700,+10,311.000000 
 3,1700,+13,294.000000 
 3,1700,+16,288.000000 
 3,1700,+19,303.000000 
 3,1700,+22,304.000000 
 3,1700,+25,315.000000 
 3,1700,+28,317.000000 
 3,1700,+31,304.000000 
 3,1700,+34,307.000000 
 3,1700,+37,304.000000 
 3,1700,+40,301.000000 
 3,1700,+43,292.000000 
 3,1700,+46,304.000000 
 3,2000,+4,297.000000 
 3,2000,+7,311.000000 
 3,2000,+10,294.000000 
 3,2000,+13,288.000000 
 3,2000,+16,303.000000 
 3,2000,+19,304.000000 
 3,2000,+22,315.000000 
 3,2000,+25,317.000000 
 3,2000,+28,304.000000 
 3,2000,+31,307.000000 
 3,2000,+34,304.000000 
 3,2000,+37,301.000000 
 3,2000,+40,292.000000 
 3,2000,+43,304.000000 
 3,2000,+46,281.000000 
 3,2000,+49,321.000000 
 3,2000,+52,228.000000 
 3,2000,+55,299.000000 
 3,2000,+58,290.000000 
 3,2000,+61,277.000000 
 3,2000,+64,326.000000 
 3,2000,+67,298.000000 
 3,2300,+4,311.000000 
 3,2300,+7,294.000000 
 3,2300,+10,288.000000 
 3,2300,+13,303.000000 
 3,2300,+16,304.000000 
 3,2300,+19,315.000000 
 3,2300,+22,317.000000 
 3,2300,+25,304.000000 
 3,2300,+28,307.000000 
 3,2300,+31,304.000000 
 3,2300,+34,301.000000 
 3,2300,+37,292.000000 
 3,2300,+40,304.000000 
 3,2300,+43,281.000000 
 3,2300,+46,321.000000 
 3,2300,+49,228.000000 
 3,2300,+52,299.000000 
 3,2300,+55,290.000000 
 3,2300,+58,277.000000 
 3,2300,+61,326.000000 
 3,2300,+64,298.000000 
 4,0200,+4,294.000000 
 4,0200,+7,288.000000 
 4,0200,+10,303.000000 
 4,0200,+13,304.000000 
 4,0200,+16,315.000000 
 4,0200,+19,317.000000 
 4,0200,+22,304.000000 
 4,0200,+25,307.000000 
 4,0200,+28,304.000000 
 4,0200,+31,301.000000 
 4,0200,+34,292.000000 
 4,0200,+37,304.000000 
 4,0200,+40,281.000000 
 4,0200,+43,321.000000 
 4,0200,+46,228.000000 
 4,0200,+49,299.000000 
 4,0200,+52,290.000000 
 4,0200,+55,277.000000 
 4,0200,+58,326.000000 
 4,0200,+61,298.000000 
 4,0500,+4,288.000000 
 4,0500,+7,303.000000 
 4,0500,+10,304.000000 
 4,0500,+13,315.000000 
 4,0500,+16,317.000000 
 4,0500,+19,304.000000 
 4,0500,+22,307.000000 
 4,0500,+25,304.000000 
 4,0500,+28,301.000000 
 4,0500,+31,292.000000 
 4,0500,+34,304.000000 
 4,0500,+37,281.000000 
 4,0500,+40,321.000000 
 4,0500,+43,228.000000 
 4,0500,+46,299.000000 
 4,0500,+49,290.000000 
 4,0500,+52,277.000000 
 4,0500,+55,326.000000 
 4,0500,+58,298.000000 
 4,0800,+4,270.000000 
 4,0800,+7,312.000000 
 4,0800,+10,319.000000 
 4,0800,+13,321.000000 
 4,0800,+16,0.000000 
 4,0800,+19,310.000000 
 4,0800,+22,312.000000 
 4,0800,+25,315.000000 
 4,0800,+28,0.000000 
 4,0800,+31,0.000000 
 4,0800,+34,135.000000 
 4,0800,+37,135.000000 
 4,0800,+40,158.000000 
 4,0800,+43,180.000000 
 4,0800,+46,282.000000 
 4,0800,+49,272.000000 
 4,0800,+52,312.000000 
 4,0800,+55,315.000000 
 4,1100,+4,312.000000 
 4,1100,+7,319.000000 
 4,1100,+10,321.000000 
 4,1100,+13,0.000000 
 4,1100,+16,310.000000 
 4,1100,+19,312.000000 
 4,1100,+22,315.000000 
 4,1100,+25,0.000000 
 4,1100,+28,0.000000 
 4,1100,+31,135.000000 
 4,1100,+34,135.000000 
 4,1100,+37,158.000000 
 4,1100,+40,180.000000 
 4,1100,+43,282.000000 
 4,1100,+46,272.000000 
 4,1100,+49,312.000000 
 4,1100,+52,315.000000 
 4,1400,+4,319.000000 
 4,1400,+7,321.000000 
 4,1400,+10,0.000000 
 4,1400,+13,310.000000 
 4,1400,+16,312.000000 
 4,1400,+19,315.000000 
 4,1400,+22,0.000000 
 4,1400,+25,0.000000 
 4,1400,+28,135.000000 
 4,1400,+31,135.000000 
 4,1400,+34,158.000000 
 4,1400,+37,180.000000 
 4,1400,+40,282.000000 
 4,1400,+43,272.000000 
 4,1400,+46,312.000000 
 4,1400,+49,315.000000 
 4,1700,+4,321.000000 
 4,1700,+7,0.000000 
 4,1700,+10,310.000000 
