지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,2015-01-01 0:00,-6.9,,6.1,290,31,1.1,-21.2,1011.6,1022.8,,,,,0,0,,,2000,,,-3.8,-2.7,-1.1,0.1,0.7
108,2015-01-01 1:00,-7.4,,4.7,290,33,1.2,-20.9,1011.8,1023,,,,,,,,,,,,-4.5,-3.2,-1.3,0.1,0.8
108,2015-01-01 2:00,-8,,4.5,290,35,1.2,-20.8,1011.7,1022.9,,,,,,,,,,,,-5.1,-3.7,-1.7,0,0.7
108,2015-01-01 3:00,-8.4,,3.8,290,37,1.2,-20.5,1012.1,1023.3,,,,,0,0,,,2000,4,,-5.5,-4,-1.9,0,0.7
108,2015-01-01 4:00,-8.8,,4.9,290,35,1.1,-21.5,1012.3,1023.6,,,,,0,0,,,2000,,,-5.9,-4.4,-2.2,0,0.7
108,2015-01-01 5:00,-9.1,,5.7,290,35,1.1,-21.7,1011.8,1023.1,,,,,0,0,,,1800,,,-6.3,-4.7,-2.4,0,0.7
108,2015-01-01 6:00,-9.3,,5.3,290,36,1.1,-21.6,1012.1,1023.4,,,,,0,0,,,1600,,,-6.6,-5,-2.6,0,0.7
108,2015-01-01 7:00,-9.5,,4.5,290,38,1.1,-21.2,1012.6,1023.9,,,,,0,0,,,1600,,42,-6.8,-5.2,-2.8,-0.1,0.7
108,2015-01-01 8:00,-9.8,,6.1,270,42,1.2,-20.3,1013.1,1024.4,0,0.01,,,0,0,,,1600,,42,-7,-5.4,-2.9,-0.2,0.7
108,2015-01-01 9:00,-9.5,,5.1,290,41,1.2,-20.3,1013.6,1024.9,0.8,0.28,,,0,0,,,1800,4,42,-6,-4.9,-3,-0.3,0.7
